Category,Entry,classification,Reasoning,Severity Level,Affected Component,Attack Possibility
INFO,Host Configuration,check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Linux Hosts Specific Configuration,check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Ensure only trusted users are allowed to control Docker daemon (Automated),check,Improper user permissions or access controls could allow an attacker to escalate privileges and gain unauthorized system access.,High,Access Control System,None
INFO,Users: matar,result,Improper user permissions or access controls could allow an attacker to escalate privileges and gain unauthorized system access.,High,Access Control System,Escalation Attack
INFO,Ensure auditing is configured for Docker files and directories - containerd.sock (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,Ensure auditing is configured for Docker files and directories - /etc/default/docker (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,Ensure auditing is configured for Dockerfiles and directories - /etc/docker/daemon.json (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,1.1.12 Ensure auditing is configured for Dockerfiles and directories - /etc/containerd/config.toml (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,Ensure auditing is configured for Docker files and directories - /etc/sysconfig/docker (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,Ensure auditing is configured for Docker files and directories - /usr/bin/runc (Automated),check,"Inadequate auditing or logging could allow unauthorized access or modifications to go undetected, enabling data stealth or unauthorized data access.",Medium,Audit System,None
INFO,File not found,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,General Configuration,check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,"Using 24.0.5, verify is it up to date as deemed necessary",result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Expose Secrets
INFO,Docker daemon configuration,check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Ensure TLS authentication for Docker daemon is configured (Scored),check,"Weaknesses in web applications or services could be exploited to carry out attacks such as SQL injection, XSS, or CSRF.",Medium,Encryption/Security Protocol,None
INFO,Docker daemon not listening on TCP,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Misconfiguration Attack
INFO,Ensure the default ulimit is configured appropriately (Manual),check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Default ulimit doesn't appear to be set,result,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,Dos
INFO,Ensure that a daemon-wide custom seccomp profile is applied if appropriate (Manual),check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Ensure that experimental features are not implemented in production (Scored) (Deprecated),check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Docker daemon configuration files,check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Ensure that registry certificate file ownership is set to root:root (Automated),check,Missing files or configurations indicate potential vulnerabilities that could be exploited by attackers to breach system security.,Medium,General System,None
INFO,Directory not found,result,"Unrestricted access to file system listings could reveal sensitive information about system structure, facilitating further attacks.",Medium,File System,Listing File Systems
INFO,Ensure that registry certificate file permissions are set to 444 or more restrictively (Automated),check,Improper user permissions or access controls could allow an attacker to escalate privileges and gain unauthorized system access.,High,Access Control System,None
INFO,Directory not found,result,"Unrestricted access to file system listings could reveal sensitive information about system structure, facilitating further attacks.",Medium,File System,Listing File Systems
INFO,Ensure that TLS CA certificate file ownership is set to root:root (Automated),check,"Weaknesses in web applications or services could be exploited to carry out attacks such as SQL injection, XSS, or CSRF.",Medium,Encryption/Security Protocol,None
INFO,No TLS CA certificate found,result,"Weaknesses in web applications or services could be exploited to carry out attacks such as SQL injection, XSS, or CSRF.",Medium,Encryption/Security Protocol,Data Stealth
INFO,Ensure that TLS CA certificate file permissions are set to 444 or more restrictively (Automated),check,Improper user permissions or access controls could allow an attacker to escalate privileges and gain unauthorized system access.,High,Access Control System,None
